<#f0f000>:COMMAND NORMALS:</>
Overhead            						_F_+^B
Uppercut            						_F_+^C

<#f0f000>:Throws:</>
Throw   								[_B/_F]_+^A +^B

<#f0f000>:Special Moves:</>
Fatal Introduction_EX						_QDF^A/^B/^C
Territory Lord_EX							_DSF^A/^B/^C
Water's Edge_EX								_QDB^A/^B/^C
_!Extra kick								(After A Version) ^A
_!Knockdown								    (After A Version) ^A

<#f0f000>:Super Moves:</>
Not real yet
Triple Kung Fu Palm <#bebebe>(1000)</>		_QDF_QDF^P
Smash Kung Fu Upper <#bebebe>(1000)</>		_QDB_QDB^P
